127.0.0.1 - - [24/Mar/2023:07:34:53 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:34:55 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:08 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:09 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:15 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:20 -0700] "GET /Lab_09/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:25 -0700] "POST /Lab_09/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:25 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:28 -0700] "GET /Lab_09/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:32 -0700] "POST /Lab_09/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:32 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:33 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:36 -0700] "POST /Lab_09/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:36 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:38 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:43 -0700] "POST /Lab_09/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:43 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:47 -0700] "GET /Lab_09/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:54 -0700] "POST /Lab_09/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:54 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:35:55 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:00 -0700] "POST /Lab_09/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:00 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:04 -0700] "GET /Lab_09/EditVaccine?id=2 HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:11 -0700] "POST /Lab_09/EditVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:11 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:18 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:23 -0700] "POST /Lab_09/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:23 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:36 -0700] "GET /Lab_09/NewDoses HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:39 -0700] "POST /Lab_09/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:39 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:36:57 -0700] "GET /Lab_09/EditVaccine?id=2 HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:37:03 -0700] "POST /Lab_09/EditVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:07:37:03 -0700] "GET /Lab_09/ListVaccines HTTP/1.1" 200 2404
