127.0.0.1 - - [05/Apr/2023:08:16:08 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:10 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:24 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:47 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:47 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:49 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:59 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:16:59 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:17:03 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 500 3698
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:18:18 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:21:47 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:22:34 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:28:34 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:28:40 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:28:44 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:29:46 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:29:46 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:29:48 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:30:23 -0700] "POST /Midterm/UpdateStatus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:30:23 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:30:36 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:30:41 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:30:43 -0700] "GET /Midterm/CreateRequest HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:02 -0700] "POST /Midterm/CreateRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:02 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:03 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:06 -0700] "POST /Midterm/UpdateStatus HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:06 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:10 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:55 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:31:57 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:36:46 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:44:50 -0700] "GET /Midterm/ListRequests HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:44:52 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 500 7080
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:45:51 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [05/Apr/2023:08:46:15 -0700] "GET /Midterm/UpdateStatus?id=1 HTTP/1.1" 200 926
